"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002200","GO:0002200","somatic diversification of immune receptors","40/7300","76/18888",0.526315789473684,1.36178803172314,2.50831562765502,0.00909094652840071,0.0465544439156004,0.0321655900936962,"9156/23529/3148/64332/2956/10538/22976/7374/10459/4436/79915/23075/940/121260/51010/7037/112441434/10721/54537/7518/10039/78996/200558/51176/27343/472/56259/5788/79840/30009/4292/7040/6929/118460/64421/5395/7158/2067/5423/6778",40
"GO:0002698","GO:0002698","negative regulation of immune effector process","60/7300","121/18888",0.495867768595041,1.28300690592098,2.47873996153743,0.00911888896675773,0.046659907283571,0.032238457282706,"7042/7291/301/3598/710/3958/259307/11221/3142/2896/196/54/3106/2302/2/4092/2213/3105/684/3077/7043/64127/284/3134/11314/3575/613/10859/729230/3566/3135/56833/10039/1378/5532/84695/80149/430/2294/84868/6223/3718/5788/10875/3071/79987/30009/10225/7040/5777/6688/11006/3965/55061/3133/6693/3824/51043/1398/53833",60
"GO:1903050","GO:1903050","regulation of proteolysis involved in protein catabolic process","106/7300","228/18888",0.464912280701754,1.20291276135544,2.4465812427037,0.00915812567440047,0.046822945275719,0.0323511041706087,"1017/991/6790/5347/55872/7041/79031/857/51136/641700/1075/4092/2729/5701/55170/1942/28951/5721/160418/3077/28996/8945/120892/1263/4193/27351/116224/4780/64285/5071/80011/57761/4983/5887/8554/10221/369/81542/5704/4130/55743/27074/64326/7805/11345/5371/8313/863/6135/5601/348/5582/7415/65018/6201/64844/51667/1452/5988/84456/25831/7466/51684/25898/6815/2629/3300/3304/28952/10134/10213/51035/122809/6613/29978/165324/5566/84231/2876/51322/3303/11011/7514/1950/2295/10273/7341/84074/7480/10399/161582/10197/54209/2332/11146/819/10755/56893/9683/55294/5705/10444/440730/8312/55270/57154",106
"GO:0006195","GO:0006195","purine nucleotide catabolic process","70/7300","144/18888",0.486111111111111,1.25776255707763,2.46438534003435,0.00924239199191241,0.047177804781868,0.032596285177095,"1291/230/5465/51422/195827/6774/3939/5213/8671/2597/3101/7351/9759/55526/57103/22978/3356/5230/283927/83440/5224/215/5150/2203/11165/5138/84618/3692/3704/10591/4860/8654/8622/863/55190/390916/3099/5141/8850/669/23417/5562/25961/7167/2645/80201/8803/5236/54541/79147/2023/55753/28964/5566/26137/9615/38/5223/11163/5315/440672/441531/254552/3607/83594/2033/5136/128486/30833/55270",70
"GO:0034101","GO:0034101","erythrocyte homeostasis","70/7300","144/18888",0.486111111111111,1.25776255707763,2.46438534003435,0.00924239199191241,0.047177804781868,0.032596285177095,"7422/23306/29127/1021/54892/3162/8444/3148/7067/836/6774/9991/6772/10370/5771/5880/55027/81624/567/28996/3276/29766/7538/6722/84529/4067/3624/4602/6670/10019/55646/9636/8314/2624/1432/25893/2309/84456/94081/669/1054/5925/23456/6223/6510/2539/3304/3059/2113/3815/23210/5926/211/3071/9258/8837/3784/2039/60682/3303/4891/6688/79876/4151/5469/54681/10013/3635/405/677",70
"GO:0014013","GO:0014013","regulation of gliogenesis","56/7300","112/18888",0.5,1.29369863013699,2.4742755915802,0.0093327705376862,0.0476008778428172,0.0328885965766866,"3976/23529/2146/1746/11221/9572/6833/3066/7161/170825/1956/6664/4192/9241/1745/9682/4067/3280/4602/7101/5764/3065/23500/706/4763/22891/430/5925/650/7732/6692/84630/9423/29956/7424/30812/7157/5270/9921/7852/3569/7040/1959/5970/1499/6497/54209/3400/7097/5583/146433/5501/6663/7133/9444/1605",56
"GO:0002292","GO:0002292","T cell differentiation involved in immune response","44/7300","85/18888",0.517647058823529,1.33935858178888,2.48881951248627,0.00938579161004231,0.0477562313491736,0.0329959340676926,"301/9021/57546/602/64332/3142/5971/6774/10538/4092/2207/64218/538/3726/4221/7248/5734/6095/4602/4297/3122/3566/3123/10892/84695/23476/80149/430/3606/5590/3718/51176/10875/57089/30009/3569/5914/3965/942/51561/6693/114836/51043/6778",44
"GO:0008589","GO:0008589","regulation of smoothened signaling pathway","44/7300","85/18888",0.517647058823529,1.33935858178888,2.48881951248627,0.00938579161004231,0.0477562313491736,0.0329959340676926,"83871/22856/10959/5167/7545/28981/7289/64839/8945/2619/80178/1495/2735/6095/55764/80210/51174/916/79600/7415/200845/2737/64927/79363/51684/5925/860/92344/2121/5270/79659/5566/54903/283219/5567/84455/2719/5082/27148/10399/5396/6422/730094/51473",44
"GO:2000134","GO:2000134","negative regulation of G1/S transition of mitotic cell cycle","44/7300","85/18888",0.517647058823529,1.33935858178888,2.48881951248627,0.00938579161004231,0.0477562313491736,0.0329959340676926,"1017/11200/7465/51512/144455/2146/5933/10106/55159/835/6118/25959/6347/90/51499/10385/51379/1263/4193/4582/91607/10457/3624/23026/5311/595/5371/785/51339/5925/472/7157/26058/79960/51322/123879/324/79027/10263/79577/3275/10217/5934/11170",44
"GO:0071559","GO:0071559","response to transforming growth factor beta","140/7300","309/18888",0.453074433656958,1.17228354834419,2.42354203763176,0.00943375782367489,0.0479618592316538,0.0331380073398314,"10631/4015/1278/1277/1281/1284/255743/7042/858/7791/10252/7041/25878/2331/59/94031/857/9518/80310/3675/2615/2022/114990/7057/54829/8754/5465/3309/64332/399473/6774/3066/4092/7046/57045/10370/26524/4838/4053/56937/94/3725/6664/4093/81031/8848/90/4435/1003/28996/7043/2280/25855/51741/55756/4221/200734/1745/6868/864/9076/6386/8692/678/1513/5138/135228/58533/10253/4052/10454/3987/3065/4297/23607/199699/2662/2353/5494/5371/64081/5045/5928/5654/5170/55198/9141/5598/58516/22938/10979/6662/7048/650/25805/7474/3621/5829/79685/4921/8819/84312/9958/51701/3175/5926/7157/8837/4772/9315/7040/3303/2660/79674/161742/1001/2348/5468/11171/10273/6497/3480/8576/55612/7472/6885/6422/80312/2033/10755/54361/64398/64426/677/1398/8312/7476/9404/57154/4086",140
"GO:0035094","GO:0035094","response to nicotine","28/7300","50/18888",0.56,1.44894246575342,2.52288218685349,0.00948384461729693,0.0480147111208388,0.033174523987013,"3162/836/3767/1134/2550/5465/18/4313/3066/1139/567/4790/84687/477/116372/4538/5594/1137/7412/1138/2912/1268/1135/1136/2876/5970/3480/23657",28
"GO:0090102","GO:0090102","cochlea development","28/7300","50/18888",0.56,1.44894246575342,2.52288218685349,0.00948384461729693,0.0480147111208388,0.033174523987013,"115908/890/4171/2535/2487/5754/3280/6899/6909/5048/2624/55084/2561/6662/27443/8642/9096/7474/2138/793/4647/246213/11020/3784/3777/6495/2558/102",28
"GO:0050848","GO:0050848","regulation of calcium-mediated signaling","48/7300","94/18888",0.51063829787234,1.32122413290586,2.4779991779882,0.00949722438015792,0.0480147111208388,0.033174523987013,"1827/2633/683/5725/123041/90861/9472/5159/120892/4137/55273/5025/5341/11261/5530/29995/6543/6548/9495/916/8445/58515/51643/5532/5598/7535/920/9454/5534/84174/3064/5621/64581/801/5164/808/5336/3708/56923/9455/6850/2274/54209/375346/4761/3358/374403/23261",48
"GO:0051952","GO:0051952","regulation of amine transport","48/7300","94/18888",0.51063829787234,1.32122413290586,2.4779991779882,0.00949722438015792,0.0480147111208388,0.033174523987013,"3688/7200/83849/3745/2550/18/1861/6529/3356/5071/552/8864/6812/3737/477/5579/143425/5997/65018/6623/54407/5999/1137/6857/23208/84258/246213/6804/2912/9066/6860/1268/124935/6861/151/8564/1136/5021/11255/81539/9900/1113/91683/6387/6622/135/127833/57586",48
"GO:1901874","GO:1901874","negative regulation of post-translational protein modification","48/7300","94/18888",0.51063829787234,1.32122413290586,2.4779991779882,0.00949722438015792,0.0480147111208388,0.033174523987013,"4085/26271/64175/857/4092/2729/10459/151636/408/7128/1407/10362/11338/6737/54984/10253/27018/56271/84707/9636/11261/8864/84875/706/6135/51547/5582/6201/64844/5581/575/8878/55859/3304/54552/51035/23251/3303/123879/5970/374969/1499/5478/10401/59343/819/7320/9683",48
"GO:0051965","GO:0051965","positive regulation of synapse assembly","34/7300","63/18888",0.53968253968254,1.3963731245923,2.5011841013976,0.00958672645735147,0.0480147111208388,0.033174523987013,"2048/3556/577/26050/9378/64218/4915/57555/347731/5789/114798/375790/575/654429/147381/11141/386724/57463/26045/2049/84631/627/27286/23394/158038/5021/23316/40/10507/22883/23768/57633/347902/7476",34
"GO:1903034","GO:1903034","regulation of response to wounding","85/7300","179/18888",0.474860335195531,1.2286523302977,2.43958265408634,0.00959435217564507,0.0480147111208388,0.033174523987013,"5327/51330/84034/3688/2316/5054/302/11117/301/8840/710/2048/79001/857/6696/5329/5627/25817/7057/5328/7056/2896/71/6774/7035/2152/6915/196527/7494/4192/538/5154/1839/114897/7128/2191/2149/9076/23122/7143/4780/135228/5764/90102/10019/81542/8634/84959/2303/64094/240/348/65078/2137/5581/4846/55966/10979/10855/146760/23189/29956/4921/948/22915/100506658/5270/8578/2039/7852/64581/28964/5777/4638/2161/2150/170692/1270/3480/9856/55612/2247/54361/22876/1398",85
"GO:0009154","GO:0009154","purine ribonucleotide catabolic process","66/7300","135/18888",0.488888888888889,1.2649497716895,2.45207491234698,0.00963076880490531,0.0480147111208388,0.033174523987013,"1291/230/5465/51422/195827/6774/3939/5213/8671/2597/3101/7351/9759/55526/57103/22978/3356/5230/283927/83440/5224/215/5150/2203/11165/5138/84618/3692/3704/4860/8654/8622/863/55190/390916/3099/5141/8850/669/23417/5562/7167/2645/80201/8803/5236/54541/79147/2023/55753/28964/5566/26137/9615/38/5223/11163/5315/440672/441531/254552/3607/2033/5136/128486/30833",66
"GO:0003281","GO:0003281","ventricular septum development","39/7300","74/18888",0.527027027027027,1.36362828582007,2.48754889313139,0.00964539654284085,0.0480147111208388,0.033174523987013,"7042/53834/64220/4092/7046/10370/3491/2535/11064/8321/6664/90/9241/4193/26508/5754/3280/5138/163/84516/199699/54583/6910/10818/659/4846/25831/6092/7048/64783/639/51684/7474/2702/407975/6926/57493/23462/7481",39
"GO:0072678","GO:0072678","T cell migration","39/7300","74/18888",0.527027027027027,1.36362828582007,2.48754889313139,0.00964539654284085,0.0480147111208388,0.033174523987013,"3690/4478/3627/3383/8772/50848/64005/101/3676/6347/1893/6373/8764/8740/9943/6868/5339/5294/729230/6352/1901/58515/7535/430/7474/83692/199/3683/3695/124976/102/23143/29108/6387/11035/6693/1398/9750/284114",39
"GO:1902475","GO:1902475","L-alpha-amino acid transmembrane transport","39/7300","74/18888",0.527027027027027,1.36362828582007,2.48754889313139,0.00964539654284085,0.0480147111208388,0.033174523987013,"3688/6509/83733/7351/55244/115286/151258/121260/3766/9056/6506/6556/153129/8864/10165/477/5997/6507/6541/84889/145389/54407/5999/6510/54896/8604/246213/2911/124935/1201/6505/2055/81539/57030/23657/6542/120103/6519/387254",39
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","137/7300","302/18888",0.45364238410596,1.17375306177991,2.41591498871354,0.00964673898527767,0.0480147111208388,0.033174523987013,"10631/4015/1278/1277/1281/1284/255743/7042/858/7791/10252/7041/2331/59/94031/857/9518/80310/3675/2615/2022/114990/7057/54829/8754/5465/3309/64332/399473/6774/3066/4092/7046/57045/10370/26524/4838/4053/56937/94/3725/6664/4093/81031/8848/90/4435/1003/28996/7043/2280/25855/51741/55756/4221/200734/1745/6868/9076/6386/8692/678/1513/5138/135228/58533/10253/4052/10454/3987/3065/4297/199699/2662/2353/5494/5371/64081/5045/5928/5654/5170/55198/9141/5598/58516/22938/10979/6662/7048/650/25805/7474/3621/5829/79685/4921/8819/84312/9958/51701/3175/5926/7157/8837/4772/9315/7040/3303/2660/79674/161742/1001/2348/5468/11171/10273/6497/3480/8576/55612/7472/6885/6422/80312/2033/10755/54361/64398/64426/677/1398/8312/7476/9404/57154/4086",137
"GO:0001886","GO:0001886","endothelial cell morphogenesis","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"6781/25932/80781/8985/85301/4233/26084/57493",8
"GO:0001915","GO:0001915","negative regulation of T cell mediated cytotoxicity","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"2213/3575/10859/3135/5532/5788/3071/3824",8
"GO:0002291","GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"3958/3383/3109/10859/84868/3683/10875/3965",8
"GO:0031666","GO:0031666","positive regulation of lipopolysaccharide-mediated signaling pathway","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"23643/929/4282/23328/5578/4064/388325/9450",8
"GO:0032025","GO:0032025","response to cobalt ion","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"836/841/728294/538/57103/5176/466/842",8
"GO:0033313","GO:0033313","meiotic cell cycle checkpoint signaling","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"7272/11130/9319/57082/5810/55743/3364/54888",8
"GO:0035771","GO:0035771","interleukin-4-mediated signaling pathway","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"5771/146722/3561/3566/6776/3718/54625/6778",8
"GO:0044837","GO:0044837","actomyosin contractile ring organization","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"1894/29127/8826/10788/128239/5339/6242/27183",8
"GO:0048194","GO:0048194","Golgi vesicle budding","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"54732/10959/84364/10972/26286/8729/399687/64083",8
"GO:0048251","GO:0048251","elastic fiber assembly","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"4015/1281/11117/30008/10516/538/79875/4239",8
"GO:0048304","GO:0048304","positive regulation of isotype switching to IgG isotypes","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"22976/4436/79915/940/5788/30009/4292/5395",8
"GO:0070432","GO:0070432","regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"7128/26191/121260/51296/7099/3304/55577/3303",8
"GO:0098917","GO:0098917","retrograde trans-synaptic signaling","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"23236/2171/747/2982/57406/6860/1268/1605",8
"GO:0099566","GO:0099566","regulation of postsynaptic cytosolic calcium ion concentration","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"491/6543/2890/2915/7474/793/2911/3708",8
"GO:0140059","GO:0140059","dendrite arborization","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"8829/1139/10371/5764/221692/22891/25830/9344",8
"GO:1990504","GO:1990504","dense core granule exocytosis","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"23025/6812/5864/6616/8618/6860/440279/8938",8
"GO:2000234","GO:2000234","positive regulation of rRNA processing","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"84135/114049/55127/51504/23160/83732/51547/84128",8
"GO:2000425","GO:2000425","regulation of apoptotic cell clearance","8/7300","10/18888",0.8,2.06991780821918,2.68603150481611,0.00967099457063824,0.0480147111208388,0.033174523987013,"717/6347/146722/718/7052/721/720/54209",8
"GO:0032609","GO:0032609","type II interferon production","59/7300","119/18888",0.495798319327731,1.28282721307701,2.45647746606687,0.00969176570315772,0.0480374711701195,0.033190249454962,"80381/602/8772/1649/29126/80380/3105/7855/10865/3554/929/10666/64127/26191/3624/1236/9636/6556/11119/10859/7805/729230/54440/3113/916/3115/3123/5987/11118/7099/1378/51311/1054/80149/140885/914/3606/84868/7474/5621/7098/64581/7784/51571/10125/10225/5914/29108/2150/11006/3965/11035/51561/114836/54106/51284/23513/64115/53833",59
"GO:0032649","GO:0032649","regulation of type II interferon production","59/7300","119/18888",0.495798319327731,1.28282721307701,2.45647746606687,0.00969176570315772,0.0480374711701195,0.033190249454962,"80381/602/8772/1649/29126/80380/3105/7855/10865/3554/929/10666/64127/26191/3624/1236/9636/6556/11119/10859/7805/729230/54440/3113/916/3115/3123/5987/11118/7099/1378/51311/1054/80149/140885/914/3606/84868/7474/5621/7098/64581/7784/51571/10125/10225/5914/29108/2150/11006/3965/11035/51561/114836/54106/51284/23513/64115/53833",59
"GO:1901342","GO:1901342","regulation of vasculature development","162/7300","362/18888",0.447513812154696,1.15789601150382,2.40753878420792,0.00969827370710129,0.0480374711701195,0.033190249454962,"1116/7422/1284/8038/84034/7042/7291/3688/3678/5054/3339/11117/672/3690/285/1870/51129/23670/3162/79031/861/3627/133/8829/2041/25817/7453/57381/2022/641700/3315/7057/1647/577/56005/2896/6833/3576/6774/1969/2152/9510/7046/6772/6423/6915/958/7494/6672/4838/23129/2828/1139/2064/64218/94/4192/1893/1942/1003/28984/28996/64855/5230/7128/947/694/358/23213/25865/79805/4780/10457/23328/10411/7101/5176/10253/1634/5578/154796/2296/25960/718/4303/728/6237/10352/54583/4881/7082/2303/146850/64094/5294/7060/5371/8877/63943/23166/729230/240/5579/3728/2624/3135/3099/5170/575/4846/5291/5598/4763/51752/3087/9723/23576/80149/7048/388/7474/126393/6678/7424/10298/2113/2013/5335/10553/23251/1536/3552/7098/7852/5740/3569/22905/7040/57343/92140/161742/100126351/102/5970/3791/1545/5468/26051/1499/5315/6786/6387/6667/10000/22846/6422/2247/1512/54361/57608/57556/4086",162
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","43/7300","83/18888",0.518072289156627,1.34045882158772,2.4672073256049,0.00997112783546229,0.0493504768162008,0.0340974367791007,"8772/10410/51441/6772/6672/5771/4615/79594/9759/3455/84166/64135/54502/10010/4939/9755/9636/5770/340061/10581/3665/9641/29110/389856/26065/3654/4940/8519/7474/117854/3661/3454/4938/11140/26058/29883/7187/5777/5781/90933/253943/81844/23170",43
"GO:0010906","GO:0010906","regulation of glucose metabolic process","51/7300","101/18888",0.504950495049505,1.30650752746508,2.45138650472575,0.0100660673798324,0.0497815637554017,0.034395285160798,"3486/4837/3481/3487/90673/5465/5771/10269/2875/57103/151176/10499/114897/4485/83667/1407/11091/5163/6095/2203/5071/57486/2822/2648/57001/51547/8445/10891/10776/8850/23417/27232/10295/51094/150094/2645/7157/5166/5566/9852/5164/8660/6934/55829/1609/3607/208/2033/1196/114899/90007",51
"GO:0045995","GO:0045995","regulation of embryonic development","47/7300","92/18888",0.510869565217391,1.32182251340083,2.4559317562644,0.0100954138724698,0.0498837048699699,0.0344658569246639,"182/983/29127/130497/23236/3910/86/9334/6423/6996/4838/3908/64855/11091/23122/8607/4780/1810/3280/90102/154796/2648/5048/10856/60436/286204/7182/8850/4487/27042/79813/1072/8820/26009/25819/10445/3911/1499/10399/56983/7472/10474/27330/51562/54361/51057/1605",47
"GO:0034250","GO:0034250","positive regulation of amide metabolic process","78/7300","163/18888",0.478527607361963,1.2381410202538,2.42357116026653,0.0101217805148744,0.0498837048699699,0.0344658569246639,"116496/602/8531/836/3673/7057/51441/115572/7132/1139/3491/10657/22849/8398/113251/2064/1942/940/3276/9811/4904/23645/64127/4780/347731/9619/10605/3692/54103/6741/54505/10492/51335/8440/1981/1153/23410/65018/440275/6352/9775/7812/1984/1982/3184/6199/23178/1994/84769/55132/27230/22927/65110/5611/84305/23654/23107/51334/3569/114134/8439/1654/81554/5970/5935/1545/54915/79072/5315/253943/6667/20/2332/29063/5724/7349/8663/60558",78
"GO:0002449","GO:0002449","lymphocyte mediated immunity","166/7300","372/18888",0.446236559139785,1.15459125055236,2.39012971493894,0.010128253999877,0.0498837048699699,0.0344658569246639,"182/9156/23529/3598/710/715/3426/602/3383/259307/51279/5873/8915/8772/717/80329/79465/2794/203068/64332/2214/3493/196/3106/80328/2302/1075/2956/10538/4092/64005/2213/3105/3514/958/7855/3560/5551/5819/4615/2207/10865/22976/716/3554/7374/9103/10459/4436/3107/567/374383/79915/3136/3077/23075/3507/2212/940/3501/127544/10666/23180/4818/7186/64127/4277/3134/619207/121260/51010/7037/3575/112441434/91543/712/2215/3578/718/54537/5817/3500/713/202309/3140/3122/3665/10859/146850/729230/54440/3566/57823/10312/3135/3123/11118/10039/10892/1378/5532/51311/1054/10383/714/10384/914/3606/163486/5590/972/1439/84868/200558/7409/84174/5788/81622/2013/3902/3071/695/6891/79987/30009/7784/51571/10125/4292/10225/3569/730/7040/118460/2209/5777/3002/721/9214/5395/64170/7158/720/11006/3965/2067/8417/55061/11035/50615/925/3133/51561/6693/54209/114836/6885/54795/1512/3824/3820/3635/1398/7133/6778/53833",166
"GO:0001738","GO:0001738","morphogenesis of a polarized epithelium","33/7300","61/18888",0.540983606557377,1.39973950145969,2.48193326372828,0.0101417107066348,0.0498837048699699,0.0344658569246639,"115908/4478/9948/8323/998/71/6423/9620/2535/8321/60/4649/5754/4983/23245/5048/57662/2066/9024/4867/55966/79864/2294/7474/84446/1741/10413/3911/2295/6422/2195/23513/51057",33
"GO:0003179","GO:0003179","heart valve morphogenesis","33/7300","61/18888",0.540983606557377,1.39973950145969,2.48193326372828,0.0101417107066348,0.0498837048699699,0.0344658569246639,"182/7042/7291/11117/1009/53834/2006/6591/64220/54567/3491/90/1942/4193/26508/6615/8313/6910/659/4846/6092/6662/7048/10439/5925/650/8642/4669/2702/11096/4772/7040/23462",33
"GO:0016447","GO:0016447","somatic recombination of immunoglobulin gene segments","33/7300","61/18888",0.540983606557377,1.39973950145969,2.48193326372828,0.0101417107066348,0.0498837048699699,0.0344658569246639,"9156/23529/64332/2956/10538/22976/7374/10459/4436/79915/23075/940/121260/51010/7037/112441434/54537/7518/10039/78996/200558/5788/79840/30009/4292/7040/6929/118460/5395/7158/2067/5423/6778",33
"GO:0051785","GO:0051785","positive regulation of nuclear division","33/7300","61/18888",0.540983606557377,1.39973950145969,2.48193326372828,0.0101417107066348,0.0498837048699699,0.0344658569246639,"991/6790/11065/10635/9787/51203/3481/23236/23636/9700/28984/5159/940/286053/51434/8877/10361/4487/25970/5925/7474/1908/4488/55512/3552/51433/9587/8697/51529/55023/1950/54361/7320",33
"GO:0140895","GO:0140895","cell surface toll-like receptor signaling pathway","38/7300","72/18888",0.527777777777778,1.36557077625571,2.46667961013018,0.0102336665854697,0.050297045524561,0.0347514439695599,"4057/9111/353376/9572/23643/4615/929/7128/64127/7096/22841/26191/4067/51135/29110/5581/7099/118788/338382/55198/3654/8878/1535/5295/4669/3430/3661/4938/9258/7187/5970/2150/9865/388325/79155/54209/6885/7097",38
"GO:0071763","GO:0071763","nuclear membrane organization","26/7300","46/18888",0.565217391304348,1.46244192972007,2.49236301417803,0.0104489936860875,0.0512363783062975,0.0354004516834891,"5347/23306/10783/7443/1104/1861/27348/79188/80346/23141/7329/5578/545/5048/5579/23175/2010/23435/27243/26092/165324/1639/137886/221496/27183/8815",26
"GO:1902622","GO:1902622","regulation of neutrophil migration","26/7300","46/18888",0.565217391304348,1.46244192972007,2.49236301417803,0.0104489936860875,0.0512363783062975,0.0354004516834891,"7130/1803/683/3576/101/4615/5880/3554/4192/64127/57118/1236/728/7060/56833/58515/972/83692/3071/3552/10059/83700/90550/51561/9750/2526",26
"GO:2001239","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","26/7300","46/18888",0.565217391304348,1.46244192972007,2.49236301417803,0.0104489936860875,0.0512363783062975,0.0354004516834891,"406975/2070/8737/6591/3574/5499/51741/1495/2537/3624/51530/5598/4763/2140/4170/219699/5979/3304/2138/2260/3552/598/100533105/3303/1280/23678",26
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","95/7300","203/18888",0.467980295566502,1.21085093461097,2.39726296021247,0.0105589740775502,0.0517248928581233,0.0357379781902458,"7422/182/301/861/836/3958/259307/2615/3659/8651/5465/3142/51441/2302/29126/4092/80380/57045/5771/2064/10459/5420/4192/8764/28984/114897/3077/23075/10385/6522/3557/23240/91663/5074/864/7143/26191/11314/8379/10457/3559/53827/10019/5322/81542/59341/84959/8654/10859/7805/3566/3135/3123/64844/2737/1378/5598/84695/80149/430/972/650/84868/3718/10875/5621/1051/3902/5270/865/30009/445/5962/4855/7040/5777/6688/79626/201633/170692/11006/3965/9647/6387/135/80709/942/3133/6693/11146/51043/23513/64115/9750/53833",95
"GO:0031333","GO:0031333","negative regulation of protein-containing complex assembly","71/7300","147/18888",0.482993197278912,1.24969527537042,2.41218875679546,0.0105649111869269,0.0517248928581233,0.0357379781902458,"22943/9928/7067/9168/29767/5216/3309/10677/7114/998/2059/11013/84885/829/822/6840/120/25959/1003/29766/6653/329/91663/57731/8780/118/5734/2314/51185/11344/6812/4133/5756/51339/1452/9026/6662/25999/5590/6711/2629/112476/23189/6712/85477/22900/7111/64853/11078/23210/57482/83700/2039/51571/5962/6709/286527/1654/25827/585/54434/10382/830/6622/54209/10013/2033/80772/146206/6710/1366",71
"GO:0002286","GO:0002286","T cell activation involved in immune response","61/7300","124/18888",0.491935483870968,1.27283252319929,2.4192622392363,0.010615085255131,0.05189052453432,0.0358524171171232,"301/9021/57546/602/3958/3383/5873/64332/3142/5971/6774/10538/4092/2213/2207/64218/4192/538/3726/4221/7248/5734/6095/4602/3109/4297/6556/3122/10859/3566/3123/440275/10892/3936/84695/23476/80149/430/3606/5590/972/84868/3718/51176/3683/10875/8995/57089/7157/3071/30009/3569/5914/2150/3965/942/51561/6693/114836/51043/6778",61
"GO:0043200","GO:0043200","response to amino acid","61/7300","124/18888",0.491935483870968,1.27283252319929,2.4192622392363,0.010615085255131,0.05189052453432,0.0358524171171232,"1290/1278/1277/1281/1282/5111/652968/836/80310/1291/3745/8651/7846/4313/2729/7494/4615/1786/22849/1956/4915/538/83667/27244/28956/64121/4067/2730/26012/2662/6506/153129/599/84687/57707/2890/3184/352954/58528/23304/2902/57463/10542/64506/80315/9148/1051/1536/598/6750/445/10670/6495/5970/10458/1788/10325/3480/100313837/2033/197131",61
"GO:0061136","GO:0061136","regulation of proteasomal protein catabolic process","89/7300","189/18888",0.470899470899471,1.21840400086975,2.39508526021614,0.0107064037749239,0.0521138752929546,0.0360067355525959,"1017/991/6790/5347/55872/857/51136/641700/4092/2729/5701/28951/5721/160418/3077/8945/120892/1263/4193/27351/116224/4780/64285/5071/80011/57761/4983/5887/8554/10221/369/81542/5704/4130/55743/27074/64326/11345/8313/863/6135/5601/348/5582/7415/65018/64844/51667/1452/5988/25831/7466/25898/6815/2629/3300/3304/10134/10213/51035/122809/6613/29978/165324/5566/2876/51322/3303/11011/7514/2295/10273/7341/7480/10399/161582/10197/54209/2332/11146/819/10755/56893/9683/55294/5705/10444/8312/55270",89
"GO:0031122","GO:0031122","cytoplasmic microtubule organization","32/7300","59/18888",0.542372881355932,1.40333410726724,2.46272548148947,0.0107263217368464,0.0521138752929546,0.0360067355525959,"57606/27175/11104/1778/1263/4137/153241/59341/11261/3837/7283/50861/5048/25999/6249/122060/152206/55835/27229/23271/85378/54627/79745/11076/4926/57562/84056/10844/51361/79768/8312/84376",32
